HEXCODE,PARAMETER_ID,PARAMETER_ID,MIN_VALUE_NU,MAX_VALUE_NU,RGB_R_NU,RGB_G_NU,RGB_B_NU,SHORT_NAME_TX,DWH1_T_UNIT_REF.NAME_E_TX,SHORT_SIGN_TX,NAME_G_TX,NAME_F_TX,NAME_I_TX,DWH1_T_PARAM_GROUP_REF.NAME_E_TX,DESC_G_TX,DESC_F_TX,DESC_E_TX,DESC_I_TX,UUID_TX,TECHNICAL_NAME_TX,MHS_PRODUCT_NAME_TX,LABEL_G,LABEL_F,LABEL_I,LABEL_E,LABEL_DEF_G,LABEL_DEF_F,LABEL_DEF_I,LABEL_DEF_E
#CDFFCD,93,93,1,2,205,255,205,rre150z0,millimeter,mm,Niederschlag,précipitations,precipitazioni,precipitation,Niederschlag; Zehnminutensumme,précipitation: sommation sur 10 minutes,Precipitation; ten minutes total,Precipitazioni; somma su dieci minuti,70a66635-768f-40d1-8370-65734a1060e7,messwerte-niederschlag-10min,i2016t,1 bis 2 mm,de 1 à 2 mm,da 1 a 2 mm,1 to 2 mm,1 bis 2 mm,de 1 à 2 mm,da 1 a 2 mm,1 to 2 mm
#99F0B2,93,93,2,4,153,240,178,rre150z0,millimeter,mm,Niederschlag,précipitations,precipitazioni,precipitation,Niederschlag; Zehnminutensumme,précipitation: sommation sur 10 minutes,Precipitation; ten minutes total,Precipitazioni; somma su dieci minuti,70a66635-768f-40d1-8370-65734a1060e7,messwerte-niederschlag-10min,i2016t,2 bis 4 mm,de 2 à 4 mm,da 2 a 4 mm,2 to 4 mm,2 bis 4 mm,de 2 à 4 mm,da 2 a 4 mm,2 to 4 mm
#53BD9F,93,93,4,6,83,189,159,rre150z0,millimeter,mm,Niederschlag,précipitations,precipitazioni,precipitation,Niederschlag; Zehnminutensumme,précipitation: sommation sur 10 minutes,Precipitation; ten minutes total,Precipitazioni; somma su dieci minuti,70a66635-768f-40d1-8370-65734a1060e7,messwerte-niederschlag-10min,i2016t,4 bis 6 mm,de 4 à 6 mm,da 4 a 6 mm,4 to 6 mm,4 bis 6 mm,de 4 à 6 mm,da 4 a 6 mm,4 to 6 mm
#32A696,93,93,6,9,50,166,150,rre150z0,millimeter,mm,Niederschlag,précipitations,precipitazioni,precipitation,Niederschlag; Zehnminutensumme,précipitation: sommation sur 10 minutes,Precipitation; ten minutes total,Precipitazioni; somma su dieci minuti,70a66635-768f-40d1-8370-65734a1060e7,messwerte-niederschlag-10min,i2016t,6 bis 9 mm,de 6 à 9 mm,da 6 a 9 mm,6 to 9 mm,6 bis 9 mm,de 6 à 9 mm,da 6 a 9 mm,6 to 9 mm
#3296B4,93,93,9,12,50,150,180,rre150z0,millimeter,mm,Niederschlag,précipitations,precipitazioni,precipitation,Niederschlag; Zehnminutensumme,précipitation: sommation sur 10 minutes,Precipitation; ten minutes total,Precipitazioni; somma su dieci minuti,70a66635-768f-40d1-8370-65734a1060e7,messwerte-niederschlag-10min,i2016t,9 bis 12 mm,de 9 à 12 mm,da 9 a 12 mm,9 to 12 mm,9 bis 12 mm,de 9 à 12 mm,da 9 a 12 mm,9 to 12 mm
#0570B0,93,93,12,15,5,112,176,rre150z0,millimeter,mm,Niederschlag,précipitations,precipitazioni,precipitation,Niederschlag; Zehnminutensumme,précipitation: sommation sur 10 minutes,Precipitation; ten minutes total,Precipitazioni; somma su dieci minuti,70a66635-768f-40d1-8370-65734a1060e7,messwerte-niederschlag-10min,i2016t,12 bis 15 mm,de 12 à 15 mm,da 12 a 15 mm,12 to 15 mm,12 bis 15 mm,de 12 à 15 mm,da 12 a 15 mm,12 to 15 mm
#05508C,93,93,15,20,5,80,140,rre150z0,millimeter,mm,Niederschlag,précipitations,precipitazioni,precipitation,Niederschlag; Zehnminutensumme,précipitation: sommation sur 10 minutes,Precipitation; ten minutes total,Precipitazioni; somma su dieci minuti,70a66635-768f-40d1-8370-65734a1060e7,messwerte-niederschlag-10min,i2016t,15 bis 20 mm,de 15 à 20 mm,da 15 a 20 mm,15 to 20 mm,15 bis 20 mm,de 15 à 20 mm,da 15 a 20 mm,15 to 20 mm
#0A1F96,93,93,20,25,10,31,150,rre150z0,millimeter,mm,Niederschlag,précipitations,precipitazioni,precipitation,Niederschlag; Zehnminutensumme,précipitation: sommation sur 10 minutes,Precipitation; ten minutes total,Precipitazioni; somma su dieci minuti,70a66635-768f-40d1-8370-65734a1060e7,messwerte-niederschlag-10min,i2016t,20 bis 25 mm,de 20 à 25 mm,da 20 a 25 mm,20 to 25 mm,20 bis 25 mm,de 20 à 25 mm,da 20 a 25 mm,20 to 25 mm
#2C0246,93,93,25,30,44,2,70,rre150z0,millimeter,mm,Niederschlag,précipitations,precipitazioni,precipitation,Niederschlag; Zehnminutensumme,précipitation: sommation sur 10 minutes,Precipitation; ten minutes total,Precipitazioni; somma su dieci minuti,70a66635-768f-40d1-8370-65734a1060e7,messwerte-niederschlag-10min,i2016t,25 bis 30 mm,de 25 à 30 mm,da 25 a 30 mm,25 to 30 mm,25 bis 30 mm,de 25 à 30 mm,da 25 a 30 mm,25 to 30 mm
#6A2C5A,93,93,30,50,106,44,90,rre150z0,millimeter,mm,Niederschlag,précipitations,precipitazioni,precipitation,Niederschlag; Zehnminutensumme,précipitation: sommation sur 10 minutes,Precipitation; ten minutes total,Precipitazioni; somma su dieci minuti,70a66635-768f-40d1-8370-65734a1060e7,messwerte-niederschlag-10min,i2016t,> 30 mm,> 30 mm,> 30 mm,> 30 mm,30 bis 50 mm,de 30 à 50 mm,da 30 a 50 mm,30 to 50 mm
